12.36,104.95,45.38
29.48,94.98,76.03
7.87,105.99,87.65
20.52,99.07,90.98
22.45,95.88,41.99
24.57,94.27,47.56
17.44,88.13,40.22
11.95,96.43,59.01
12.19,99.9,45.92
21.28,119.95,45.91
15.35,106.4,77.99
11.72,107,93.94
9.96,92.34,21.34
22.83,86.92,61.14
13.48,106.51,76.51
7.67,115.29,53.21
21.46,103.07,35.1
6.01,113.2,83.04
22.61,112.01,92.93
29.02,86.98,93.42
19.66,108.37,97.68
12.45,100.8,61.05
27.9,100.92,50.41
18.54,100.73,3.91
4.66,93.63,32.62
24.92,105.07,32.56
17.78,85.03,9.92
12.75,93.15,81.52
29.75,114.54,5.49
4.8,87.83,86.9
15.97,109.99,35.24
24.7,92.72,59.16
21.73,110.72,49.28
11.97,97.99,51.63
28.3,112.98,10.92
5.69,102.06,98.2
21.02,98.98,19.49
28.82,97.85,39.9
22,89.09,94.8
19.72,115.86,89.56
17.85,109.82,60.03
24.13,114.22,17.32
24.36,103.78,66.7
28.99,102.67,51.52
20.11,86.66,31.76
19.78,115.96,98.02
9.08,106.34,67.41
7.55,87.54,37.06
29.94,86.29,59.21
5.54,118.13,95.98
23.27,98.6,47.39
9.71,102.61,71.53
25.69,103.29,16.99
25.7,85.2,94.78
25.98,115.21,75
8,112.01,32.66
23.92,95.45,48.4
25.75,87.3,82.44
18.14,101.9,70.83
11.39,89.16,12.09
4.84,107.25,18.4
17.39,112.34,43.99
19.28,104.06,19.84
21.95,90.78,99.7
7.21,106.39,74.83
20.11,100.33,81.96
6.67,100.82,65.24
10.05,107.8,95.98
9.86,109.89,52.37
19.79,108.29,33.98
10.15,118.31,95.13
27.12,118.67,96.14
7.31,86.78,13.43
21.56,86.81,38.52
9.62,94.27,54.77
8.78,114.72,98.35
8.2,88.87,0.8
8.65,87.77,87.46
21.97,104.52,66.6
23.35,97.36,56.56
23.22,93.04,57.64
29.21,85.75,61.85
15.36,99.1,46.52
8.38,86.86,4.54
27.19,89.8,75.01
25.73,103.49,12.95
26.85,91.83,97.98
10.68,109.02,25.76
14.16,97.38,31.44
4.5,109.77,42.29
3.06,101.13,25.18
27.92,91.15,53.46
12.88,88.72,82.52
28.73,118.96,38.75
10.75,92.51,87.05
29.57,105.46,59.63
22.68,104.48,64.9
8.46,105.57,1.88
27.69,104.7,7.44
12.84,95.6,68.65
25.7,111.76,63.14
13.71,116.6,13.62
10.19,97.94,67.84
28.1,90.12,56.77
27.29,87.19,82.67
23.55,119.87,78.59
28.8,105.46,49.66
29.05,91.81,35.15
9.04,91.86,17.12
27.52,92.19,91.31
5.71,110.97,64.88
26.85,114.62,32.39
3.85,108.08,43.78
26.61,96.39,35.22
20.56,93.9,17.29
17.2,110.7,28.08
22.69,89.22,46.81
19.28,88.29,44.73
27.96,94.42,6.4
10.65,93.93,76.07
10.5,93,55.46
5.32,103.04,35.54
28.6,102.28,45.47
12.11,117.86,48.41
6.38,87.51,79.18
24.66,116.03,27.78
8.95,95.68,68.73
19.96,109.26,25.52
18.65,90.58,33.97
23.45,94.71,17.89
18.18,86.77,38.59
6.2,117.77,74.82
10.8,104.73,49.63
8.9,102.73,83.64
23.35,108.79,10.76
13.81,105.8,96.76
23.06,93.03,64.86
26.42,105.36,10.15
5.77,88.31,36.06
12.19,99.98,80.86
7.56,107.8,6.75
24.71,95.25,32.59
12.68,90.39,30.63
8.7,108.18,83.98
15.93,98.1,6.51
15.84,104.17,26.66
11.29,89.14,0.85
18.95,86.18,45.71
15.2,112.69,10.94
23.24,115.96,35.25
22.36,98.41,20.76
18.17,94.65,35.14
25.37,101.47,80.68
11.08,118.1,23.01
10.26,105.57,99.51
25.98,108.28,68.83
21.35,86.08,72.35
11,94.67,81.35
15.52,112.02,94.94
13.09,107.41,23.09
26.28,87.11,12.88
7.93,117.61,34.85
6.75,111.79,20.78
27.01,111.19,50.39
24.76,111.95,67.22
18.47,89.02,98.01
20.54,86.46,11.51
11.93,114.78,13.74
15.54,93.34,83.12
7.39,115.46,50.84
4.93,106.57,34.57
28.34,106.05,40.38
12.94,110.35,73.72
13.39,94.16,17.16
5.43,97.5,31.87
9.27,98.63,88.51
25.96,118.42,34.54
7.9,87.78,65.06
12.21,105.12,51.18
24.8,112.96,27.41
24.98,97.29,57.37
13.55,102.83,14.51
12.36,91.65,44.87
29.99,100.33,4.51
4.77,100,10.9
11.13,96.75,85.9
3.32,115.27,6.07
24,119.48,30.28
4.35,116.55,36.99
9.14,92.84,62.84
10.85,85.77,3.77
27.58,99.99,74.92
24.03,85.64,29.16
15.04,99.33,22.39
27.5,103.06,77.47
6.16,104.4,39.19
5.76,97.02,56.05
26.56,119.74,55.56
16.97,105.03,61.33
13.36,91.87,78.5
5.29,118.96,87.93
12.12,118.79,42.22
24.67,99.84,54.79
15.32,108.75,30.23
16.14,91.99,45.82
29.25,95.67,81.11
6.68,93.06,69.48
8.85,104.5,21.73
7.26,93.06,21.63
